180
yellow,1,18

#壁
wall,20,1,ly=15

#左
down,4,11,lx=4
up,4,6,lx=4
right,8,7,ly=4
treasure2,14,7,rot,r=5,p=2,f=0.3
treasure3,10,2
treasure4,13,2
breadnest2,5,8,content=tr
breadnest,7,7,content=tr
breadnest,7,10,content=tr
bread2,10,6,content=tr
bread,12,8,content=tr
bread,9,11,content=tr

#電気
electricity,3,12
electricity,2,13
electricity,1,14
electricity,1,4
electricity,2,5
electricity,3,6
electricity,7,1,ly=5

electricity,14,7
electricity,16,8
electricity,18,9
electricity,12,9
electricity,14,10
electricity,16,11

#右
treasure,22,2
treasure,31,2
bchap2,26,9,content=tr
bchap,25,8,lx=3
poison,38,15
poison,35,15
poison,35,18
poison,38,12
poison,35,12
poison,32,12
poison,32,15
poison,32,18
treasure,38,18
maro,36,16,lx=2,ly=2
keme2,37,2,content=tr

infbomb,20,18
