180
blue,9,18
waterwraith,19,10,content=tr
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10
waterwraith,19,10

#左下
up,1,17
wall,2,17,lx=6
purplepon,1,18
pblock_yellow,2,18
pblock_blue,3,18
pblock_red,4,18
water,1,18,lx=5
plug,5,18
left,6,18,lx=2

#右下
tnt,38,16
tnt,37,17
tnt,36,18
pswitch_red,38,18
bchap,38,17
bchap,38,17
bchap,38,17
bchap,38,17
bchap,38,17
bchap,37,18
bchap,37,18
bchap,37,18
bchap,37,18
bchap,37,18

#右上
pickedgrass,38,1,content=bomb
crystal,37,1
crystal,38,2
water,36,1,lx=3,ly=3
plug,37,2

#左上
flame,2,1
flame,1,2
pswitch_yellow,1,1

#左左上
poison,7,1
yellowpon,9,1
right,10,1
wall,7,2,lx=4
electricity,10,3
left,7,3
whitepon,8,3
wall,7,4,lx=4

#右右上
flame,26,1
rockpon,28,1
right,29,1
wall,26,2,lx=4
water,29,3
left,26,3
whitepon,27,3
wall,26,4,lx=4

#上
water,17,1
rockpon,19,1
right,20,1
wall,17,2,lx=4
left,17,3
bluepon,18,3
flame,20,3
wall,17,4,lx=4

#右
redpon,37,10,rot,r=1,p=3,f=0.5

#左
pblock_blue,1,8
pblock_blue,2,9
pblock_blue,1,10
wingedpon,1,9

#下
pblock_yellow,14,18
pblock_yellow,15,17
pblock_yellow,16,18
whitepon,15,18

poison,22,18
poison,23,17
poison,24,18
pswitch_blue,23,18

#真ん中
wingedpon,20,10
